$100,000 Pyramid (1988);$100000P
FriendlyWare P.C. Arcade (1983);Friendly
Frigate (1989);frigate
Frightmare (1989);Frightma
Fripp (1997);Fripp97
Frogger (1983);Frogger
Frogger II - ThreeeDeep! (1984);FroggerI
From Corner to Corner (1993);FromCtoC
Front Lines (1994);fronline
Frontier - First Encounters (1995);frontier
Frontier - Elite 2 (1993);frontir2
Frontline (1990);Frontlin
Fruit Salad (1997);fruitsal
Fun School 4 - for the under 5s (1992);FS45
Fun School 4 - for 7 to 11 year olds (1992);FS47
Frankenstein (1994);FStein94
Fort Apache (1991);FtApache
Football (1983);FtBall83
Football Glory (1995);FtballG
Football Manager - World Cup Edition 1990 (1990);FtblMWCE
Fort Boyard - The Challenge (1995);FtBoyard
F-Tetris (2003);Ftetris
Fuck Quest (1998);fuck1
Fuck Quest 2 - Romancing the Bone (2004);fuck2
FUE - A 3D Adventure (1988);FUEA3DA
Full Count Baseball (1994);FullCou
Full Metal Planete (1990);fullmeta
Full Throttle (1995);fullt
Funball (1995);funball
Funny Fruits (1994);FunFruit
Fun House (1989);FunHous
Funky Ball (1995);FunkBall
Funky Bubble Puzz (1995);FunkyPuz
Fun 'N Games Deluxe (1995);FunNGame
Funny Face (1990);FunnyFac
Fun School 2 - For the Under-6s (1989);FunSCH22
Fun School 2 - for the Over-8s (1989);FunSCH28
Fun School 3 - for 5 to 7 Year Olds (1991);FunSCH32
Fun School 4 - for 5 to 7 Year Olds (1992);FunSchoo
Fun Seeker's Guide to Eastern Madera County (1991);funseek
Furcol (1997);Furcol
Fury of the Furries (1993);Furyofth
Future Classics (1990);futclass
Future Dimension (1995);FutureDi
Fuzzy Worm (1982);FuzzWorm
Fuzzy's World of Miniature Space Golf (1995);FuzzysWo
Future Wars (1989);FWars
FX Fighter (1995);FXFighte
Fyleet (1985);fyleet
Gadget - Lost in Time (1993);GadgetLo
Galaxy (1982);Gal1982
Galactic Encounters (1982);GalacEnc
Galactix (1988);Galact88
Galacta - The Battle for Saturn (1992);GalactaT
Galactix II - The Search for the Lost Orbs (1991);Galacti2
Galactix (1992);Galactix
Galaga 94 (1994);Galaga94
Galactic Gladiators (1983);galaglad
Galatea (2000);galatea
Galaxi (1996);Galaxi
Galaxian (1983);Galaxian
Galaxy Trek (1983);GalaxyTr
Galactic Battle (1990);GalBatt
Galactic Conquest (1987);galcon
Galactic Conqueror (1988);galconq
Galactic Empire (1990);GalEmpr
Galleons of Glory (1990);galleon
Galleons (1993);Galleons
Galactic Warrior Rats (1993);GalWR
Galaxy Fighter (1996);GalxFite
Game Builder (1993);gambuild
Gambys (1995);Gambys
Game of Harmony, The (1990);gameharm
Game of Life, The (1992);gamelife
Game of Recovery, The (1993);GameofRe
Game Over II (1987);GameOve2
Game Over (1988);GameOver
Game of Robot (1986);GameRobo
Gamescape (1993);Gamescap
Gamblers and Money Grubbers (1991);GaMGBJ
Gaminours - Shapes and Colors (1989);Gaminou2
Gaminours and the Puzzle (1989);Gaminour
Gamma Force in a Pit of a Thousand Screams (1988);gammafo
Gamma Wing (1991);GammaWin
Gandalf (1997);Gandalf
Ganja Farmer (1998);GanjaFar
Gapper (1986);Gapper
Garden (1989);Garden89
Gargoyle Medieval Pack (1995);Gargoyle
Gateway to the Savage Frontier (1991);gatesf
Gateway (1992);gateway
Gateway 2 - Homeworld (1993);gateway2
Gateworld (1993);Gateworl
GATO (1984);GATO
Gauntlet II (1989);Gauntle2
Gauntlet (1988);Gauntlet
Gavrila (1995);Gavrila
Gazza II (1991);gazza2
GBA Championship Basketball - Two-on-Two (1986);GBAChamp
Galactic Battle (2000);GBat2000
Ghostbusters - Basic Training (1987);GBBTrain
General Budda's Labyrinth (1991);GBLabyri
Gear Works (1992);gearwork
Secret of Foody, The (1995);Geheimn
Geisha (1990);geisha
Gemfire (1992);gemfire
Gemini-2 (1986);Gemini2
Gem Scenario, The (2007);gemscen
Genocide 2 - Master of the Dark Communion (1995);Gen2MoDC
Generic Adventure 551 (1990);GenAdv51
Gender Wars (1996);genderwr
Gene Machine, The (1996);genem
Geneva Adventure, The (1989);GenevaAd
Genewars (1996);genewars
Genocide (1996);genocide
General Trivia (1992);GenTriv
Geometrix 2.0 (1992);Geometri
GeoTutor 1 - Europe (1991);geotut1
GeoTutor 2 - South America (1991);geotut2
GeoTutor 3 - Central America (1991);geotut3
Gerbil Riot of '67 (1988);gerbil
Gertrude's Puzzles (1984);GertPuz
Gertrude's Secrets (1986);Gertrude
Get 5 (1998);Get5
Get Lost! (1996);GetLost
Gettysburg (1990);Getty90
Gettysburg (1993);Gettybrg
Gettysburg - The Turning Point (1986);gettystp
GFL Championship Football (1987);GFLChamp
Gary Grigsby's Pacific War (1992);ggrigpw
Gary Grigsby's Pacific War (2000);ggrigpwr
Gary Grigsby's War in Russia (1993);ggrigwr
Genghis Khan (1991);ghenkhan
Genghis Khan (1989);ghenkhn
Genghis Khan II - Clan of the Grey Wolf (1993);ghenkhn2
Ghost of the Fireflies (2007);ghosfire
Ghost (1990);ghost90
Ghostbusters II (1989);Ghostbu2
Ghostbusters (1986);Ghostbus
Ghost Town (1981);ghostown
Ghosts 'N Goblins (1987);GhostsNG
Giana Sisters (1996);giana
Giana Sisters 32k (1998);giana98
Giana Sisters X-Mas 98 (1998);gianax
Giant Killer (1987);GiantKll
Giant Space Slug (1990);GiantSpa
Giddy 3 - The Retro Eggsperience (2000);giddy3
Girlfriend Construction Set (1989);girlcost
Gabriel Knight 1 - Sins of the Fathers (1993);gk1
Gabriel Knight 2 - The Beast Within (1995);GK2
Gladiator (1992);gladi92
Gladiator (1995);Gladiato
Global Sorties (1998);GlobalS
Global War (2004);globawar
Global Conquest (1992);globconq
Global Domination (1993);globdomi
Global Effect (1992);globeffe
Global Thermonuclear War (1988);globther
Glook (1996);Glook
Encroaching Gloom, The (2018);gloom18
Gloriana (1996);gloriana
Glub Glup (1992);glubglup
Grandmaster Chess (CD-ROM Edition) (1993);GMChesCD
Gnafu (1986);Gnafu
Great Naval Battles Vol I - North Atlantic 1939-1943 (1992);gnb1na
Great Naval Battles Vol II - Guadalcanal 1942-43 (1994);gnb2g
Great Naval Battles Vol III - Fury in the Pacific 1941-1944 (1995);gnb3fp
Great Naval Battles Vol IV - Burning Steel 1939-1942 (1995);gnb4bs
Gnome Alone (1992);GnomAlon
LockerGnome Quest (2007);gnomeq
LockerGnome Quest Redux (2012);gnomer
Gnome Ranger (1987);gnomer1
Gnome Ranger II - Ingrid's Back (1988);gnomer2
Goal! (1993);Goal!
Goal 94 (1994);Goal94
Goal II (1992);GoalII
Gobliiins 1 (1991);gob1
Gobliins 2 (1992);gob2
Goblins 3 (1993);gob3
Gobbler (1991);Gobble91
Gobman (1992);Gobman
Gobble Man (1982);GobMan82
Gobble Man (1996);GobMan96
God Jul! (1994);GodJul
Gods (1991);Gods
God of Thunder (1993);godthund
G.O.E.M. (2000);GOEM
Goferpop (1991);Goferpop
GoGo!! Our Star (1994);GoGoOS
Gold of the Americas - The Conquest of the New World (1989);goldamer
Golden Axe (1990);GoldenAx
Golden Basket (1990);GoldenBa
Golden Eagle (1991);GoldenEa
Golden Fleece, The (1989);GoldenFl
Golden Wombat of Destiny, The (1988);GoldenWo
Goldfields (1986);Goldfeld
Gold Hunt (1992);GoldHunt
Golden Immortal (1991);GoldImmo
Gold Miner (1987);GoldMinr
Gold Rush! (1988);GoldRush
Golf (1982);Golf1982
Golf Pro 2000 Downunder (1997);GolfPro
Golf's Best - St. Andrews - The Home of Golf (1986);GolfsB
Gondwana (2017);gondwana
Gone Fishing (1989);GoneFis
Gone Fishin' (1994);GoneFish
Gonzzalezz (1989);Gonzzale
Goody (1987);goody
Goofy's Railway Express (1991);GoofysRa
Goonies, The (1986);Goonies
Gore Galore - The Breakout (1995);goregal
Go Simulator (1991);gosimu
Gotcha (1993);Gotcha93
Game of Yahtzee, The (1988);GoYahtz
Grand Prix Master (1989);GPMast
Grand Prix 2 (1995);GPrix2
Grand Prix 500 2 (1991);GPrix52
Grand Prix Circuit (1988);GPrixC
Grand Prix Unlimited (1992);GPrixU
GP Sprint (2000);GPSprint
Grand Prix Tennis (1987);GPTen87
Grailquest (1989);gquest
Graeme Souness Soccer Manager (1992);GraemeSo
Grammarama (1991);grammar
Grandmaster Chess (1993);grandchs
Grand Monster Slam (1989);GrandMon
Grand Prix 500 cc (1987);GrandPri
Grand Slam Bridge II (1992);grandslm
Granny's Place (1983);granny
Graviton (2017);Grav2017
Gravedigger (2002);Gravedig
Grave Yardage (1989);GraveYar
Gravity Force (2000);GravFo2k
Gravitar (1993);Gravitar
Graviton (1992);Graviton
Graviton II (1993);Gravitr2
Gravtris (1992);Gravtris
Gravity Wars (1989);GravWars
Gravity Well (1996);GravWell
Great Archeological Race, The (1992);GreatArc
Great Courts 2 (1991);GreatCou
Great Escape, The (1987);greatesc
Great Fighter, The (1993);GreatFit
Great Napoleonic Battles (1991);greatnpb
Greedy (1996);Greedy96
Green (1992);Green92
Greg Norman's Shark Attack! The Ultimate Golf Simulator (1989);GregNorm
Gremlins 2 - The New Batch (1990);Grem290
Gremlins 2 - The New Batch (1991);Grem291
Gremlins (1984);Gremlins
Green Saucer, The (1992);GrenSauc
Gridfighter 3D (2017);GridFi3D
Grime (1984);Grime
Grayhound Racer (1989);GryHound
The Great Sage - Heaven's Equal (1995);GSageHE
Gunship 2000 (CD-ROM Edition) (1993);GSHP2KCD
Grand Slam Bridge (1987);gslambri
G-stones III (1994);Gstones
Grand Theft Auto (1997);GTA
GT Racing 97 (1997);GTRacing
Guardians (1991);guardia
Guardians of Infinity - To Save Kennedy (1988);guardken
Guerrero Solitario (1989);Guerrero
Guerrilla War (1987);Guerrill
Guild of Theives (1987);guild
Guillermo Tell (1989);GuilTell
Guimo (1997);Guimo
Guldkorn Expressen (1991);Guldkorn
Gulf Strike (1985);gulkstrk
Gumboots Australia (1990);gumboots
Gunblaze (1994);gunblaze
Gunboat (1990);Gunboat
Gunmetal (1998);Gunmetal
Gunship (1986);Gunship
Guts 'n' Garters in DNA Danger (1997);GutsnGar
Guy Spy and the Crystals of Armageddon (1992);GuySpyan
Golden Voyage (1981);gvoyage
Galaxian War (2000);GWar2000
Gymnasium Adventure (1987);Gymnasiu
H!Zone (1996);H!Zone
H20 (1996);h2o
Happy Birthday (1995);HaBDay95
Hack (1984);HACK
Hacker (1985);hacker
Hacker 2 - The Doomsday Papers (1986);hacker2
HacX (1997);HacX
Hades (1996);Hades
Halls of Montezuma - A Battle History of the United States Marine Corps (1990);hallmont
Hallowe'en (1991);Hallow91
Hamburger Hell (1986);HambHell
Hammer Boy (1991);HammerBo
Hammer-Head (1992);HammerH
Hammer of the Gods (1994);hammgod
Hampton Manor (1992);hampman
Hamsters (1994);hamsters
Hamurabi (1996);hamurabi
Handy Caps (1991);HandyCa
Hangman (2005);Hang2005
Hangman! (1992);hangman
Hangman (1992);hangmn92
Hank's Quest - Victim of Society (2002);hankques
Hannibal (1992);hannibal
Hansel & Gretel And the Enchanted Castle (1995);hansel
HappyLand Adventures (2000);HappyLan
Harald Hardtooth in The fight of the clean teeth (1992);Harald
Harrier Combat Simulator (1987);harcoms
HardBall 5 (1995);HardBall
Hard Drivin' (1990);HardDriv
Hard Hat Mack (1984);HardHatM
Hardline (1997);Hardline
Hard Nova (1990);hardnova
Hare Raising Havoc (1991);harhavoc
Hariboy's Quest (1996);hariboy
Harlem Globetrotters (1990);HarlemGl
Harley-Davidson The Road to Sturgis (1989);Harley-D
Harpoon (1989);harpoon
Harpoon II - Admiral's Edition (1996);harpoon2
Harrier 7 (1989);Harrier7
Harrier Mission (1987);harrmiss
Harvester (1996);HARVEST
Hat Trick (1987);HatTrick
Haunted Childhood (2003);HauChil
Haunted Mission Adventure (1987);HauntedM
HardBall! (1987);Hball
HardBall II (1989);HBall2
HardBall III (1992);HBall3
HardBall 4 (1994);HBall4
Henrietta's Book of Spells (1990);HBoS90
HyperComix issue # 1 - Lance Stone - Trouble at the Woz (1993);HCLance
Hard Drivin' II (1990);HDriv2
Headline Harry and The Great Paper Race (1991);headhary
Heartlight (1994);Heartlig
Hearts (1993);Hearts93
Heathkit DND (1985);heathdnd
Heather's Easter Egg Hunt (1989);HeathEEH
Heat Wave - Offshore Superboat Racing (1990);heatwave
Heaven & Earth (1992);heaveart
Heavens Dawn (1995);heavens
Heavy Barrel (1989);HeavyBar
Heavy Metal (1989);HeavyMet
Heavy Water Jogger (1992);HeavyWat
Hedgehog (1984);HedHog84
Heimdall 2 - Into the Hall of Worlds (1994);heimdal2
Heimdall (1992);heimdall
Heirs to the Throne (1992);heirthro
HeliCave (2014);HeliCave
Helious (1993);helious
Helious II (1993);helious2
Hell - A Cyberpunk Thriller (1994);hell
Hellcat Ace (1982);hellcatA
Hell Fire (1989);HellFir3
Hellfire Zone (1995);Hellfire
Hello Mr. President (1994);HelloMr
Hellraider (1989);Hellraid
Hell to Pay (1996);HelltoPa
Helicopter Mission (1994);HelMis94
Helter Skelter (1989);HelterSk
Hera - Sword of Rhin (1995);herasor
Heretic (1994);Heretic
Heretic - Shadow of the Serpent Riders (1996);HereticS
Hermit's Secret, The (1982);hermsec
Heroes .25 - The Tantalizing Trio (1994);Heroes14
Heroes (1998);Heroes98
Heroes of the 357th (1992);Heroesof
Heroes - The Sanguine Seven (1993);HeroesTh
Hero's Heart (1992);herohert
Heroes of the Lance (1989);herolanc
Heroes of Might and Magic (1995);heromm
Heroes of Might and Magic II (Deluxe Edition) (1998);heromm2d
Hero Quest (1992);heroques
Hex (1983);hex83
Hexa (1991);Hexa
Hexen - Beyond Heretic (1995);HexenBey
Hexen - Deathkings of the Dark Citadel (1996);HexenDea
Hex Jump (1990);hexjump
Hexsider (1990);hexsider
Hextris (1991);hextris
Hexxagon (1993);hexxagn
Hexxagon 2 (1993);hexxagn2
Hexx - Heresy of the Wizard (1994);hexxhere
Hey Diddle Diddle (1983);HeyDidl
Hezarin (1981);hezarin
Hitchhiker's Guide to the Galaxy, The (1984);HGG
Holy Grail, The (1984);hgrailif
Hollywood Hijinx (1986);hhijinx
Hi-Octane (1995);Hi-Octan
Hick Town (1990);HickTown
Hide and Sink (1983);HidASink
Hidden Agenda (1988);hiddagen
Hieroglyph (1992);Hierogly
High Command - Europe 1939-45 (1992);highcome
High Rollers (1988);highroll
Blood Boiled High School (1998);HighScho
Highway Fighter (1994);HighwayF
Highway Hunter (1995);HighwayH
Highway Patrol II (1990);HighwayP
Hillsfar (1989);hillsfar
HIND The Russian Combat Helicopter Simulation (1996);HINDTheR
Hippy's Quest (1990);hippy
Hired Guns (1993);hiredgun
High Roller Casino (1983);hirollca
Historyline 1914-1918 (1992);hist1914
Hong Kong Mahjong Pro (1992);hkmahpro
Hong Kong Mahjong (1991);HKMJong
Hockey League Simulator II (1992);hls2
Hunchback 96 (1997);HnchBck
Hobbit, The - The True Story - Director's Cut (2001);HobbitDC
Superhero League of Hoboken (1994);hoboken
Heart of China (1991);hoc
Hockey League Simulator (1989);hocksim1
Hocus Pocus (1994);HocusPoc
Hogbear (1989);hogbear
Hole-In-One Miniature Golf Deluxe! (1992);HoleIn1
Hole in One (1995);HoleinOn
Hole-Man (1994);HoleMan
Hole-In-One Miniature Golf (1989);HoleN1
Holiday Lemmings (1993);holilemm
Hollywood Squares (1988);hollsqur
Hollywood Murders, The (1997);hollymur
Home Alone 2 - Lost in New York (1992);HomeAlo2
Home Alone (1991);HomeAlon
Home Run Derby (1995);HomeRunD
Hometown, USA (1988);Hometown
Homey D Clown (1993);HOMEY
Hong Gildong-jeon (1993);HongGil1
Hong Gildong-jeon 2 (1995);HongGild
Hong Kong Hustle 1997 (1991);HongKong
Hong Pong (1998);HongPong
Hook (1992);hook
Hooray for Henrietta (1990);HoorayHe
Hoosier City (1992);hooscity
Hopang Man (1993);Hopang
Hopper (1985);Hopper
Hopy-ONE (1996);HopyONE
Rage of Tiger 2 - Blood, Money, and Tears (1994);Horangi
Horror 3.0 (1992);Horror30
Horror of Rylvania, The (1993);HorrorRy
Horror Zombies from the Crypt (1990);HorrorZo
Hoser (1982);Hoser
Hostage Rescue Mission (1989);HostageR
Halls of the Dead - Faery Tale Adventure II (1997);hotdfta2
Hot Rod Harry (1993);HotRodHa
Hotshot (1989);Hotshot
Hot Speed (1996);HotSpeed
Hot Time 2 (1992);HotTime2
Hound of Shadow, The (1989);hound
Hound of the Baskervilles (1993);houndb
House of Cards (1989);HouOCard
House Breaker (2017);HousBrk
House at the Edge of Time, The (1990);housedge
House, The (1994);HouseThe
Mahjong Houtei Raoyui (1995);Houtei
Hover (1988);Hover88
Hoverforce (1990);Hoverfor
Hovertank (1991);Hovertan
Howitzer (1993);Howitzer
How to Weigh an Elephant (1989);HowtoWei
How-Two Build a Robot! (1989);HowTwoBR
Hoyle Official Book of Games - Volume 1 (1989);hoylebk1
Hoyle Official Book of Games - Volume 2 (1990);hoylebk2
Hoyle Official Book of Games - Volume 3 (1991);hoylebk3
Hoyle Classic Card Games (1993);hoylec
Highroller (1985);HR85
Horse Races (1983);HRace83
Hill Street Blues (1991);hsblues
High Seas Trader (1995);hseastra
H-Tron (2016);Htron
Hubie (1996);Hubie
Huckleberry Hound in Hollywood Capers (1993);Hucklebe
Hugo (1994);Hugo
Hugo 2 - Whodunit (1991);hugo2
Hugo 3 (1995);Hugo3
Hugo 3 - Jungle of Doom (1992);hugo3JD
Hugo 4 (1996);Hugo4
Hugo 5 (1997);Hugo5
Hugo's House of Horrors (1990);HugoHous
Huj Hujowi Nie Rowny (1997);Hujowi
Human Killing Machine (1988);HumanKil
Humans 1 & 2 (1993);humans
Humans 3 - Evolution - Lost in Time (1995);humans3
Humbug (1990);humbug
Humpty's Scramble (1998);Humpty98
Hunchback (1988);Hunchbac
Hunt in Space 2 (1994);HUNT2
Hunter's Law (1996);HuntersL
Hunting Game, The (1997);HuntGame
Hurdles (1994);Hurdles
H.U.R.L. (1995);HURL
Hurry! Hurry! Hurry!! (1993);Hurry
Heavy Combat (1995);HvyCom95
Hypercycles (1995);HypCyc
Hyper 3-D Pinball (1995);hyper3D
Hyperspeed (1991);Hyperspe
Hyper Tank (1999);HyperTan
Ian Botham's Cricket (1992);IanBotha
IAS (1994);IAS
Isaac Asimov - Science Adventure 2 (1994);IAsciAd2
Isaac Asimov - Science Adventure (1992);IAsciAdv
IBM PC Wheel of Fortune (1984);IBMWoF
Island of Dr. Brain (1992);ibrain
Iron & Blood - Warriors of Ravenloft (1997);IBWoR
I Can't Believe It's Not Bomberman (1999);ICBNBomb
Ice Man (1996);Ice-Man
IceBox (1993);IceBox
Ice Kiss (1997);IceKiss
Codename ICEMAN (1989);Iceman
ICON - The Quest for the Ring (1984);ICONring
Icy Metal (1992);IcyMeta
iF-16 Fighting Falcon (1996);iF-16Fig
If It Moves, Shoot It! (1989);IfItMove
Inspector Gadget (1992);igadget
Ignition (1997);Ignition
Igor - Objective Uikokahonia (1994);igor
I Have No Mouth and I Must Scream (1995);ihnmaims
Ikari III - The Rescue (1989);IkariIII
Ikari Warriors II - Victory Road (1988);IkariW2
Ikari Warriors (1987);IkariWar
Iko San (1997);IkoSan97
Il grande gioco di Tangentopoli (1993);Ilgrande
Iljimae-jeon - Manpa Sikjeok-pyeon (1994);Iljimae
Illusion Blaze (1994);Illusion
Immoral Cumbat (1995);imcumb
I.M. Meen (1995);IMMeen
Impact (1996);Impact96
ImpArea (1994);ImpArea
Imperium Galactica (1997);imperig
Imperium (1990);imperium
Impossible Mission II (1988);Impossib
Imperium Rex (1993);ImpRex
Imperium Romanum (1996);ImpRom96
Imperial Space Command (1986);ImpSpaCo
Inanimate Racer (1998);Inanimat
International Bridge Contractors (1985);inbridco
Inca (1992);inca1
Inca (1985);Inca1985
Inca II - Nations of Immortality (1993);inca2
In the Chips (1984);InChips
Incunabula (1984);incunab
Indecent (1995);Indecent
Inner Demons (1996);indemons
Indenture (1991);indent
Indianapolis 500 The Simulation (1989);Indianap
Indiana Jones and The Fate of Atlantis - The Action Game (1992);IndiJFoA
Indiana Jones and the Temple of Doom (1989);IndiJTD
Industrial Killers (1995);indkill
Indiana Jones and the Fate of Atlantis (1992);indy4
Indiana Jones in Revenge of the Ancients (1987);indyanci
IndyCar Racing (1993);IndyCarR
IndyCar Racing II (1996);IndyCR2
Indiana Jones and The Last Crusade (1989);IndyCru
In Extremis (1993);InExtrem
Inferno (1994);Inferno
Infernal Tome, The (1994);infertom
Infestation (1990);infestat
Infidel (1983);infidel
Infiltrator (1987);infil1
Infiltrator II (1988);infil2
Infiltration to IBM Headquarters (1987);Infiltra
Info Quiz (1990);InfoQuiz
Indiana Jones and the Last Crusade - The Action Game (1989);IniJLCA
Inindo - Way of the Ninja (1993);inindo
International Ninja Rabbits (1991);INinjaRa
Inner Worlds (1996);InnerWor
Inordinate Desire (1995);inordes
In Pursuit of Greed (1995);InPursui
Insane Speedway (1997);InsaneS
In Search of Dr. Riptide (1994);InSearch
Inside Trader The Authentic Stock Trading Game (1987);InsideTr
International Athletics (1992);IntAthl
Intergalactic Bar Mans Pub Crawl (1991);IntBarPC
Inter-Stellar Wars (1993);Inter-St
Intercept (1981);Intercep
International Moto X (1996);Internat
Interphase (1989);Interpha
Interpose (1996);Interpos
Interrupt (1995);Interupt
International Hockey (1987);IntHock
Intifada (1989);Intifada
International Open Golf Championship (1993);IntOGC
In the Days of Knights & Kings (1989);intokk
Into the Sun - Projected Distruction (1995);Intothe
Into the Eagle's Nest (1987);IntotheE
Into the Void (1997);intovoid
Intergalactic Life (2002);IntrLife
International Rugby League (1996);IntRugby
International Rugby Challenge (1993);IntRugCh
International Sports Challenge (1992);IntSC
International Soccer (1994);IntSoc
International Soccer Challenge (1990);IntSocCh
International Sensible Soccer (1994);IntSSoc
International Tennis (1993);IntTenn
International Tennis Open (1994);IntTennO
Invaders (1985);Inv1985
Inva-taxi (1994);Inva-tax
Invaders 1978 (1996);Invaders
Invasion of the Mutant Space Bats of Doom (1995);Invasion
I-O - Jailbait on Interstate Zero (1997);IO
I Play - 3D Tennis (1992);IPlay3DT
